"Places","SearchTerm","Latitude","Longitude"
"Autauga County, AL","Autauga+County,+AL",32.50771,-86.65101
"Baldwin County, AL","Baldwin+County,+AL",30.7698,-87.78273
"Barbour County, AL","Barbour+County,+AL",31.88279,-85.39302
"Bibb County, AL","Bibb+County,+AL",33.03915,-87.09677
"Blount County, AL","Blount+County,+AL",34.01276,-86.53375
"Bullock County, AL","Bullock+County,+AL",32.09272,-85.71293
"Butler County, AL","Butler+County,+AL",31.74421,-86.67584
"Calhoun County, AL","Calhoun+County,+AL",33.76225,-85.84206
"Chambers County, AL","Chambers+County,+AL",32.91879,-85.39384
"Cherokee County, AL","Cherokee+County,+AL",34.23394,-85.64766
"Chilton County, AL","Chilton+County,+AL",32.86599,-86.66521
"Choctaw County, AL","Choctaw+County,+AL",32.00402,-88.28579
"Clarke County, AL","Clarke+County,+AL",31.58842,-87.81397
"Clay County, AL","Clay+County,+AL",33.29451,-85.81561
"Cleburne County, AL","Cleburne+County,+AL",33.71662,-85.49416
"Coffee County, AL","Coffee+County,+AL",31.40063,-85.99292
"Colbert County, AL","Colbert+County,+AL",34.73637,-87.59561
"Conecuh County, AL","Conecuh+County,+AL",31.46714,-86.95143
"Coosa County, AL","Coosa+County,+AL",32.92921,-86.26192
"Covington County, AL","Covington+County,+AL",31.26102,-86.44723
"Crenshaw County, AL","Crenshaw+County,+AL",31.74577,-86.29657
"Cullman County, AL","Cullman+County,+AL",34.08589,-86.90429
"Dale County, AL","Dale+County,+AL",31.4079,-85.60378
"Dallas County, AL","Dallas+County,+AL",32.388,-87.12771
"DeKalb County, AL","DeKalb+County,+AL",34.52982,-85.7231
"Elmore County, AL","Elmore+County,+AL",32.58757,-86.15216
"Escambia County, AL","Escambia+County,+AL",31.12839,-87.15808
"Etowah County, AL","Etowah+County,+AL",34.02113,-86.04334
"Fayette County, AL","Fayette+County,+AL",33.71988,-87.73827
"Franklin County, AL","Franklin+County,+AL",34.44324,-87.84472
"Geneva County, AL","Geneva+County,+AL",31.09644,-85.83895
"Greene County, AL","Greene+County,+AL",32.83585,-88.00003
"Hale County, AL","Hale+County,+AL",32.7438,-87.63823
"Henry County, AL","Henry+County,+AL",31.54105,-85.22846
"Houston County, AL","Houston+County,+AL",31.156,-85.28069
"Jackson County, AL","Jackson+County,+AL",34.72778,-86.03186
"Jefferson County, AL","Jefferson+County,+AL",33.54448,-86.86078
"Lamar County, AL","Lamar+County,+AL",33.79148,-88.09683
"Lauderdale County, AL","Lauderdale+County,+AL",34.86992,-87.58457
"Lawrence County, AL","Lawrence+County,+AL",34.55201,-87.31814
"Lee County, AL","Lee+County,+AL",32.57819,-85.36206
"Limestone County, AL","Limestone+County,+AL",34.77504,-87.03224
"Lowndes County, AL","Lowndes+County,+AL",32.18431,-86.65808
